"fact","region","phi","crop","median","mean","min","max"
"IPM","Western Asia",4,"W",0.452387235,56.1960367456,0.206069,1222.009
"IPM","Western Europe",2,"M",0.441394595,0.439783038653846,0.26350457,0.54195566
"IPM","Western Europe",2,"R",0.54589927,0.5401819275,0.51685883,0.55207034
"IPM","Western Europe",2,"W",0.42806566,0.420200144622641,0.25276839,0.52025141
"IPM","Western Europe",3,"M",0.2166701,0.215831544615385,0.1432513,0.26805729
"IPM","Western Europe",3,"R",0.25657601,0.25690135,0.23947655,0.27497683
"IPM","Western Europe",3,"W",0.23237536,0.233761812830189,0.16096029,0.3100021
"IPM","Western Europe",4,"M",0.209520285,0.20765389625,0.14157671,0.26285986
"IPM","Western Europe",4,"R",0.24358714,0.242236545,0.2265289,0.255243
"IPM","Western Europe",4,"W",0.260864635,0.269255788679245,0.18247385,0.50882098
"MET","Australia and New Zealand",2,"M",0.3674305,0.358956103684211,0.24305972,0.46417472
"MET","Australia and New Zealand",2,"R",0.41460742,0.4112160315,0.36085177,0.45054902
"MET","Australia and New Zealand",2,"W",0.333475915,0.335715823205128,0.22142626,0.44837322
"MET","Australia and New Zealand",3,"M",0.17033668,0.167879015087719,0.10832311,0.21559301
"MET","Australia and New Zealand",3,"R",0.194771495,0.1953765235,0.16462757,0.22599068
"MET","Australia and New Zealand",3,"W",0.146628335,0.149834501858974,0.099893945,0.20472163
"MET","Australia and New Zealand",4,"M",0.17033668,0.167879015087719,0.10832311,0.21559301
"MET","Australia and New Zealand",4,"R",0.194771495,0.1953765235,0.16462757,0.22599068
"MET","Australia and New Zealand",4,"W",0.146628335,0.149834501858974,0.099893945,0.20472163
"MET","Caribbean",2,"M",0.28242633,0.284592556363636,0.24391802,0.30993093
"MET","Caribbean",2,"R",0.29387257,0.29869316,0.2604266,0.32846846
"MET","Caribbean",3,"M",0.13783209,0.140262974545455,0.12686014,0.14992544
"MET","Caribbean",3,"R",0.14359014,0.144950395454545,0.12942533,0.15749783
"MET","Caribbean",4,"M",0.13783209,0.140262974545455,0.12686014,0.14992544
"MET","Caribbean",4,"R",0.14359014,0.144950395454545,0.12942533,0.15749783
"MET","Central America",2,"M",0.3970671,0.388406645359477,0.27373363,0.48916858
"MET","Central America",2,"R",0.37654356,0.377730142380952,0.30362205,0.46067029
"MET","Central America",2,"W",0.41025657,0.397324488681319,0.28555518,0.44969783
"MET","Central America",3,"M",0.18821509,0.183948325163399,0.13765596,0.22576249
"MET","Central America",3,"R",0.18130706,0.180225574285714,0.14517917,0.21901801
"MET","Central America",3,"W",0.19031277,0.186416757582418,0.14039615,0.21507748
"MET","Central America",4,"M",0.18821509,0.183948325163399,0.13765596,0.22576249
