"","region","crop","phi","fact","value"
"166","Eastern Europe","M",3,"IPM",0.271258506764133
"167","Eastern Europe","M",3,"MET",0.214576696296296
"168","Eastern Europe","M",3,"POP",0.0472346569158616
"169","Eastern Europe","M",4,"IPM",0.305421175530214
"170","Eastern Europe","M",4,"MET",0.214576696296296
"171","Eastern Europe","M",4,"POP",0.0757614806794932
"172","Eastern Europe","R",2,"IPM",0.273995487596154
"173","Eastern Europe","R",2,"MET",0.245639704519231
"174","Eastern Europe","R",2,"POP",0.0238234306570192
"175","Eastern Europe","R",3,"IPM",0.282403475384615
"176","Eastern Europe","R",3,"MET",0.245639704519231
"177","Eastern Europe","R",3,"POP",0.0318617274557692
"178","Eastern Europe","R",4,"IPM",0.660030770270636
"179","Eastern Europe","R",4,"MET",0.245639704519231
"180","Eastern Europe","R",4,"POP",27.1436973928087
"181","Eastern Europe","W",2,"IPM",0.289403843571429
"182","Eastern Europe","W",2,"MET",0.225122944623016
"183","Eastern Europe","W",2,"POP",0.0522408210367063
"184","Eastern Europe","W",3,"IPM",0.485068341686508
"185","Eastern Europe","W",3,"MET",0.225122944623016
"186","Eastern Europe","W",3,"POP",13.0444669148034
"187","Eastern Europe","W",4,"IPM",0.703087960238095
"188","Eastern Europe","W",4,"MET",0.225122944623016
"189","Eastern Europe","W",4,"POP",21.4219272450196
"190","Melanesia","M",2,"IPM",0.116703443166667
"191","Melanesia","M",2,"MET",0.1334793575
"192","Melanesia","M",2,"POP",-0.014877396625
"193","Melanesia","M",3,"IPM",0.563666612862962
"194","Melanesia","M",3,"MET",0.1334793575
"195","Melanesia","M",3,"POP",24.0204126890417
"196","Melanesia","M",4,"IPM",1.40322950429305
"197","Melanesia","M",4,"MET",0.1334793575
"198","Melanesia","M",4,"POP",74.4540766965417
"199","Melanesia","R",2,"IPM",0.126694649116667
"200","Melanesia","R",2,"MET",0.141594435833333
"201","Melanesia","R",2,"POP",-0.0132411888541667
"202","Melanesia","R",3,"IPM",0.341594901333333
"203","Melanesia","R",3,"MET",0.141594435833333
"204","Melanesia","R",3,"POP",0.166375158125
"205","Melanesia","R",4,"IPM",0.486114155333333
"206","Melanesia","R",4,"MET",0.141594435833333
"207","Melanesia","R",4,"POP",0.29082469225
"208","Melanesia","W",2,"IPM",NA
"209","Melanesia","W",2,"MET",NA
"210","Melanesia","W",2,"POP",NA
"211","Melanesia","W",3,"IPM",NA
"212","Melanesia","W",3,"MET",NA
"213","Melanesia","W",3,"POP",NA
"214","Melanesia","W",4,"IPM",NA
"215","Melanesia","W",4,"MET",NA
"216","Melanesia","W",4,"POP",NA
"217","Middle Africa","M",2,"IPM",0.16804244465641
"218","Middle Africa","M",2,"MET",0.191983945076923
"219","Middle Africa","M",2,"POP",-0.0198366104245128
"220","Middle Africa","M",3,"IPM",0.150559326061538
"221","Middle Africa","M",3,"MET",0.191983945076923
"222","Middle Africa","M",3,"POP",-0.0343056161753846
"223","Middle Africa","M",4,"IPM",0.124275361752103
"224","Middle Africa","M",4,"MET",0.191983945076923
"225","Middle Africa","M",4,"POP",-0.0560589811979487
"226","Middle Africa","R",2,"IPM",0.154753294091954
"227","Middle Africa","R",2,"MET",0.188111585804598
"228","Middle Africa","R",2,"POP",-0.0278245417
"229","Middle Africa","R",3,"IPM",0.12858795116092
"230","Middle Africa","R",3,"MET",0.188111585804598
